D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|2018|Toyota|Camry|Sedan|Blue|45231|18995.00
10113|2020|Ford|F-150|Truck|Red|28990|27995.00
10114|2017|Honda|Civic|Sedan|Gray|60200|15995.00
10115|2019|Chevrolet|Equinox|SUV|White|38000|22495.00
10116|2021|Tesla|Model 3|Sedan|Black|14500|34995.00
10117|2016|Jeep|Wrangler|SUV|Green|75500|21995.00
10118|2015|Nissan|Altima|Sedan|Silver|88300|12995.00
10119|2022|Subaru|Outback|Wagon|Blue|9500|31995.00
10120|2014|BMW|X5|SUV|White|110000|18950.00
10121|2018|Mazda|CX-5|SUV|Red|43700|20995.00
